time	V(adc_out)
2.298274011257492e-03	1.038486e+00
2.308039636257492e-03	1.192865e+00
2.317805261257492e-03	1.362618e+00
2.327570886257492e-03	1.542008e+00
2.337336511257491e-03	1.724975e+00
2.347102136257491e-03	1.905336e+00
2.356867761257491e-03	2.076997e+00
2.366633386257491e-03	2.234158e+00
2.376399011257491e-03	2.371508e+00
2.386164636257490e-03	2.484407e+00
2.395930261257490e-03	2.569040e+00
2.405695886257490e-03	2.622547e+00
2.415461511257490e-03	2.643121e+00
2.421218667608308e-03	2.639490e+00
2.429075266002836e-03	2.615743e+00
2.438840891002836e-03	2.556792e+00
2.448606516002836e-03	2.467128e+00
2.458372141002836e-03	2.349782e+00
2.468137766002835e-03	2.208719e+00
2.477903391002835e-03	2.048705e+00
2.487669016002835e-03	1.875147e+00
2.497434641002835e-03	1.693911e+00
2.507200266002835e-03	1.511118e+00
2.516965891002834e-03	1.332947e+00
2.526731516002834e-03	1.165416e+00
2.536497141002834e-03	1.014188e+00
2.546262766002834e-03	8.843704e-01
2.556028391002834e-03	7.803515e-01
2.565794016002833e-03	7.056450e-01
2.575559641002833e-03	6.627756e-01
2.585325266002833e-03	6.531916e-01
2.591576540158970e-03	6.647276e-01
2.601342165158969e-03	7.099119e-01
2.611107790158969e-03	7.867905e-01
2.620873415158969e-03	8.927638e-01
2.630639040158969e-03	1.024253e+00
2.640404665158969e-03	1.176813e+00
2.650170290158968e-03	1.345291e+00
2.659935915158968e-03	1.523992e+00
2.669701540158968e-03	1.706880e+00
2.679467165158968e-03	1.887774e+00
2.689232790158968e-03	2.060564e+00
2.698998415158967e-03	2.219409e+00
2.708764040158967e-03	2.358943e+00
2.718529665158967e-03	2.474451e+00
2.728295290158967e-03	2.562031e+00
2.738060915158966e-03	2.618723e+00
2.747826540158966e-03	2.642612e+00
2.754191783265248e-03	2.640092e+00
2.761822818738558e-03	2.618286e+00
2.771588443738558e-03	2.561250e+00
2.781354068738558e-03	2.473353e+00
2.791119693738557e-03	2.357564e+00
2.800885318738557e-03	2.217797e+00
2.810650943738557e-03	2.058773e+00
2.820416568738557e-03	1.885867e+00
2.830182193738557e-03	1.704919e+00
2.839947818738556e-03	1.522045e+00
2.849713443738556e-03	1.343424e+00
2.859479068738556e-03	1.175091e+00
2.869244693738556e-03	1.022734e+00
2.879010318738556e-03	8.915014e-01
2.888775943738555e-03	7.858262e-01
2.898541568738555e-03	7.092803e-01
2.908307193738555e-03	6.644490e-01
2.918072818738555e-03	6.528482e-01
2.923956226696620e-03	6.621115e-01
2.933521993592988e-03	7.029161e-01
2.943287618592988e-03	7.761658e-01
2.953053243592988e-03	8.788711e-01
2.962818868592988e-03	1.007562e+00
2.972584493592988e-03	1.157889e+00
2.982350118592987e-03	1.324775e+00
2.992115743592987e-03	1.502578e+00
3.001881368592987e-03	1.685293e+00
3.011646993592987e-03	1.866744e+00
3.021412618592987e-03	2.040802e+00
3.031178243592986e-03	2.201584e+00
3.040943868592986e-03	2.343659e+00
3.050709493592986e-03	2.462225e+00
3.060475118592986e-03	2.553278e+00
3.070240743592985e-03	2.613739e+00
3.080006368592985e-03	2.641567e+00
3.087095392286627e-03	2.640744e+00
3.094457183032958e-03	2.621158e+00
3.104222808032958e-03	2.566418e+00
3.113988433032958e-03	2.480643e+00
3.123754058032958e-03	2.366732e+00
3.133519683032957e-03	2.228532e+00
3.143285308032957e-03	2.070715e+00
3.153050933032957e-03	1.898612e+00
3.162816558032957e-03	1.718039e+00
3.172582183032957e-03	1.535097e+00
3.182347808032956e-03	1.355968e+00
3.192113433032956e-03	1.186705e+00
3.201879058032956e-03	1.033026e+00
3.211644683032956e-03	9.001241e-01
3.221410308032956e-03	7.924903e-01
3.231175933032955e-03	7.137609e-01
3.240941558032955e-03	6.665965e-01
3.250707183032955e-03	6.525904e-01
3.256151506078182e-03	6.594005e-01
3.265007956016029e-03	6.926242e-01
3.274773581016029e-03	7.599918e-01
3.284539206016028e-03	8.573620e-01
3.294304831016028e-03	9.814460e-01
3.304070456016028e-03	1.128050e+00
3.313836081016028e-03	1.292221e+00
3.323601706016028e-03	1.468411e+00
3.333367331016027e-03	1.650668e+00
3.343132956016027e-03	1.832833e+00
3.352898581016027e-03	2.008751e+00
3.362664206016027e-03	2.172477e+00
3.372429831016027e-03	2.318481e+00
3.382195456016026e-03	2.441828e+00
3.391961081016026e-03	2.538351e+00
3.401726706016026e-03	2.604788e+00
3.411492331016026e-03	2.638896e+00
3.419738309844393e-03	2.641636e+00
3.426667202044625e-03	2.625401e+00
3.436432827044624e-03	2.574370e+00
3.446198452044624e-03	2.492037e+00
3.455964077044624e-03	2.381182e+00
3.465729702044624e-03	2.245553e+00
3.475495327044623e-03	2.089732e+00
